,name,locGrp,yr,ptlat_mean,ptlong_mean,wind_max,pressure_min,minlong_min,minlat_min,failTF_sum
53212,NoStorm2003,4,2003.0,39.546949,-86.43202825517241,12.0,1050.0,-109.3,42.4,29.0
53260,NoStorm2003,5,2003.0,29.708715366666667,-95.69009358717949,12.0,1050.0,-109.3,42.4,39.0
53309,NoStorm2004,0,2004.0,32.5464827,-100.97775,12.0,1050.0,-109.3,42.4,19.0
53357,NoStorm2004,1,2004.0,40.052949384,-76.15659403199999,12.0,1050.0,-109.3,42.4,25.0
53405,NoStorm2004,2,2004.0,31.406917582608695,-90.5127633826087,12.0,1050.0,-109.3,42.4,23.0
53453,NoStorm2004,3,2004.0,33.553274957142854,-83.87436592857144,12.0,1050.0,-109.3,42.4,7.0
53501,NoStorm2004,4,2004.0,40.28057565555556,-84.06122629999999,12.0,1050.0,-109.3,42.4,18.0
53549,NoStorm2004,5,2004.0,29.772822048387095,-95.53887190645162,12.0,1050.0,-109.3,42.4,31.0
53598,NoStorm2005,0,2005.0,32.517798194444445,-101.12352904444444,12.0,1050.0,-109.3,42.4,18.0
53646,NoStorm2005,1,2005.0,40.539882683870964,-75.59315118387096,12.0,1050.0,-109.3,42.4,31.0
53694,NoStorm2005,2,2005.0,31.76430962962963,-90.59908244074074,12.0,1050.0,-109.3,42.4,27.0
53742,NoStorm2005,3,2005.0,33.844839725,-82.49497425,12.0,1050.0,-109.3,42.4,4.0
53790,NoStorm2005,4,2005.0,37.6588823,-85.16744921428571,12.0,1050.0,-109.3,42.4,7.0
53838,NoStorm2005,5,2005.0,30.12339357894737,-95.54610804473684,12.0,1050.0,-109.3,42.4,38.0
53887,NoStorm2006,0,2006.0,35.23926055135135,-96.60335622432433,12.0,1050.0,-109.3,42.4,37.0
53935,NoStorm2006,1,2006.0,40.10137898666667,-76.41397608000001,12.0,1050.0,-109.3,42.4,15.0
53983,NoStorm2006,2,2006.0,31.425903748148148,-91.1215704,12.0,1050.0,-109.3,42.4,27.0
54031,NoStorm2006,3,2006.0,31.609152575000003,-82.3456418,12.0,1050.0,-109.3,42.4,4.0
54079,NoStorm2006,4,2006.0,39.000680595,-86.79212191,12.0,1050.0,-109.3,42.4,20.0
54127,NoStorm2006,5,2006.0,30.180801110256407,-95.69068252051282,12.0,1050.0,-109.3,42.4,39.0
54176,NoStorm2007,0,2007.0,34.767743405,-96.80498054,12.0,1050.0,-109.3,42.4,40.0
54224,NoStorm2007,1,2007.0,39.965672210526314,-75.5510535105263,12.0,1050.0,-109.3,42.4,19.0
54272,NoStorm2007,2,2007.0,31.771558953333333,-90.21401164666666,12.0,1050.0,-109.3,42.4,15.0
54320,NoStorm2007,3,2007.0,32.176734333333336,-82.61036361666666,12.0,1050.0,-109.3,42.4,6.0
54368,NoStorm2007,4,2007.0,38.961656684615384,-89.72297818461539,12.0,1050.0,-109.3,42.4,13.0
54416,NoStorm2007,5,2007.0,30.078472857500003,-95.9223824175,12.0,1050.0,-109.3,42.4,40.0
54465,NoStorm2008,0,2008.0,32.78401147647059,-100.30844496470588,12.0,1050.0,-109.3,42.4,17.0
54513,NoStorm2008,1,2008.0,39.801878394117644,-75.69928217352941,12.0,1050.0,-109.3,42.4,34.0
54561,NoStorm2008,2,2008.0,31.50287245294118,-90.56051149411765,12.0,1050.0,-109.3,42.4,17.0
54609,NoStorm2008,3,2008.0,32.80641542307693,-83.88161323846154,12.0,1050.0,-109.3,42.4,13.0
54705,NoStorm2008,5,2008.0,30.00571400212766,-95.59070344468086,12.0,1050.0,-109.3,42.4,47.0
54754,NoStorm2009,0,2009.0,34.45455844791667,-98.56094361666668,12.0,1050.0,-109.3,42.4,48.0
54802,NoStorm2009,1,2009.0,39.89792804642857,-75.97711729642857,12.0,1050.0,-109.3,42.4,28.0
54850,NoStorm2009,2,2009.0,31.428303736842107,-90.79513344736843,12.0,1050.0,-109.3,42.4,19.0
54898,NoStorm2009,3,2009.0,30.71005419090909,-82.661379,12.0,1050.0,-109.3,42.4,11.0
54946,NoStorm2009,4,2009.0,38.4105602125,-85.71843386249999,12.0,1050.0,-109.3,42.4,16.0
54994,NoStorm2009,5,2009.0,30.64351356888889,-95.62645182222222,12.0,1050.0,-109.3,42.4,45.0
55043,NoStorm2010,0,2010.0,35.898430975609756,-96.6195422195122,12.0,1050.0,-109.3,42.4,41.0
55091,NoStorm2010,1,2010.0,40.36767247894736,-75.21304436315789,12.0,1050.0,-109.3,42.4,19.0
55139,NoStorm2010,2,2010.0,31.033873353846154,-90.50489396923078,12.0,1050.0,-109.3,42.4,26.0
55187,NoStorm2010,3,2010.0,32.97850416666667,-82.21509666666667,12.0,1050.0,-109.3,42.4,12.0
55235,NoStorm2010,4,2010.0,38.37415811111111,-86.02470533333333,12.0,1050.0,-109.3,42.4,9.0
55283,NoStorm2010,5,2010.0,30.163995383191487,-94.97657830446808,12.0,1050.0,-109.3,42.4,47.0
55332,NoStorm2011,0,2011.0,35.43924281355932,-98.46242620338982,12.0,1050.0,-109.3,42.4,59.0
55380,NoStorm2011,1,2011.0,39.844731934074076,-75.11001222481481,12.0,1050.0,-109.3,42.4,27.0
55428,NoStorm2011,2,2011.0,31.348922846153847,-90.52586,12.0,1050.0,-109.3,42.4,26.0
55476,NoStorm2011,3,2011.0,32.84146633333334,-84.54180966666667,12.0,1050.0,-109.3,42.4,3.0
55572,NoStorm2011,5,2011.0,30.070316985416667,-95.58086100208334,12.0,1050.0,-109.3,42.4,48.0
55621,NoStorm2012,0,2012.0,34.86588700344262,-98.86808960622952,12.0,1050.0,-109.3,42.4,61.0
55717,NoStorm2012,2,2012.0,30.281377590909088,-90.60475204545455,12.0,1050.0,-109.3,42.4,22.0
55861,NoStorm2012,5,2012.0,30.015021056041665,-95.42123298229167,12.0,1050.0,-109.3,42.4,48.0
55910,NoStorm2013,0,2013.0,36.22343176653061,-96.78135152612245,12.0,1050.0,-109.3,42.4,49.0
55958,NoStorm2013,1,2013.0,40.590937311111105,-74.4359471611111,12.0,1050.0,-109.3,42.4,36.0
56006,NoStorm2013,2,2013.0,31.46029477263158,-90.77054155026315,12.0,1050.0,-109.3,42.4,38.0
56054,NoStorm2013,3,2013.0,33.165133555000004,-82.93754300083333,12.0,1050.0,-109.3,42.4,12.0
56102,NoStorm2013,4,2013.0,39.840805831666664,-90.18899316749999,12.0,1050.0,-109.3,42.4,12.0
56150,NoStorm2013,5,2013.0,30.041920788412696,-95.37751042587301,12.0,1050.0,-109.3,42.4,63.0
56199,NoStorm2014,0,2014.0,36.69576014755102,-96.97913071591836,12.0,1050.0,-109.3,42.4,49.0
56247,NoStorm2014,1,2014.0,39.926568277777776,-75.14059951666667,12.0,1050.0,-109.3,42.4,18.0
56295,NoStorm2014,2,2014.0,31.23218766131579,-90.51746677736843,12.0,1050.0,-109.3,42.4,38.0
56343,NoStorm2014,3,2014.0,33.727671775,-82.38024306666667,12.0,1050.0,-109.3,42.4,12.0
56391,NoStorm2014,4,2014.0,39.537352294117646,-90.64269170588236,12.0,1050.0,-109.3,42.4,17.0
56439,NoStorm2014,5,2014.0,30.38328001818182,-95.15448856363636,12.0,1050.0,-109.3,42.4,44.0
56536,NoStorm2015,1,2015.0,40.671263254,-74.02330990399999,12.0,1050.0,-109.3,42.4,30.0
56584,NoStorm2015,2,2015.0,30.582665415454542,-90.99470292363637,12.0,1050.0,-109.3,42.4,22.0
56632,NoStorm2015,3,2015.0,32.702742111111114,-82.24705111111112,12.0,1050.0,-109.3,42.4,9.0
56680,NoStorm2015,4,2015.0,36.042,-84.26687,12.0,1050.0,-109.3,42.4,1.0
56728,NoStorm2015,5,2015.0,29.561585783863634,-95.15002931431818,12.0,1050.0,-109.3,42.4,44.0
56777,NoStorm2016,0,2016.0,34.97889406591837,-98.65746262673468,12.0,1050.0,-109.3,42.4,49.0
56825,NoStorm2016,1,2016.0,40.28469714580645,-75.05647932225806,12.0,1050.0,-109.3,42.4,31.0
56873,NoStorm2016,2,2016.0,31.138401190000003,-91.87893592,12.0,1050.0,-109.3,42.4,10.0
56921,NoStorm2016,3,2016.0,35.182056625,-81.00547745,12.0,1050.0,-109.3,42.4,4.0
56969,NoStorm2016,4,2016.0,38.34961,-81.513815,12.0,1050.0,-109.3,42.4,2.0
57017,NoStorm2016,5,2016.0,29.86102360967742,-95.65296963241934,12.0,1050.0,-109.3,42.4,62.0
57066,NoStorm2017,0,2017.0,34.260177235111115,-98.67311301266666,12.0,1050.0,-109.3,42.4,45.0
57114,NoStorm2017,1,2017.0,39.908515052727275,-75.52980270818182,12.0,1050.0,-109.3,42.4,11.0
57162,NoStorm2017,2,2017.0,31.26355555375,-91.25665575375,12.0,1050.0,-109.3,42.4,16.0
57210,NoStorm2017,3,2017.0,32.74585662,-84.35977335999999,12.0,1050.0,-109.3,42.4,5.0
57306,NoStorm2017,5,2017.0,29.635283367142858,-95.99143037166667,12.0,1050.0,-109.3,42.4,42.0
57355,NoStorm2018,0,2018.0,32.7406147175,-98.28493344,12.0,1050.0,-109.3,42.4,16.0
57403,NoStorm2018,1,2018.0,39.65737696,-75.126828439,12.0,1050.0,-109.3,42.4,10.0
57451,NoStorm2018,2,2018.0,31.462006375909088,-91.05833337772728,12.0,1050.0,-109.3,42.4,22.0
57499,NoStorm2018,3,2018.0,33.50400939875,-83.1080530225,12.0,1050.0,-109.3,42.4,8.0
57547,NoStorm2018,4,2018.0,37.341257999999996,-86.84787875,12.0,1050.0,-109.3,42.4,4.0
57595,NoStorm2018,5,2018.0,29.551686519622642,-95.87443805943397,12.0,1050.0,-109.3,42.4,53.0
